station_ID,num of measurements 1961-2000,lat,lon
1155,120,-999.0,-999.0
1519,120,-999.0,-999.0
3022,120,-66.65,140.03333
5263,120,39.2,45.41667
5293,120,40.61667,47.15
5299,120,40.71667,46.41667
5307,120,41.21667,47.16667
5358,120,22.33333,89.6
5360,120,22.41667,91.1
5363,119,22.48333,91.43333
5366,120,22.63333,91.7
5373,119,22.86667,91.1
5399,120,25.75,88.91667
5824,104,-21.75,-45.0
6016,68,-5.65,-35.65
6078,102,-0.03333,-50.05
6182,120,16.9,96.16667
6187,120,18.8,95.21667
6199,88,21.3,99.61667
6214,120,23.2,94.3
11456,120,22.98333,103.68333
12602,120,4.35,-74.41667
12605,120,4.43333,-75.15
12611,120,4.63333,-74.1
12614,120,4.81667,-75.73333
12618,120,4.96667,-75.7
12630,120,6.16667,-67.5
12647,120,7.06667,-70.73333
13202,120,-3.26667,-79.96667
13205,120,-2.88333,-78.98333
13219,120,-1.78333,-79.53333
13261,120,-0.16667,-78.48333
13276,120,0.96667,-79.61667
13517,120,-16.98333,178.68333
13975,120,49.16667,-2.78333
14933,94,11.16667,-14.66667
14935,92,11.86667,-15.6
14947,120,6.5,-58.25
15138,120,19.85,75.4
15180,108,23.25,69.66667
15215,120,25.15,75.85
15241,108,26.75,80.88333
15286,5,-10.88333,122.83333
15289,5,-10.5,121.85
15293,29,-10.16667,123.6
15296,36,-8.75,115.16667
15301,24,-8.55,109.55
15303,6,-8.55,116.13333
15304,74,-8.55,116.7
15307,86,-8.46667,122.35
15308,15,-8.43333,117.41667
15310,3,-8.41667,125.56667
15312,36,-8.23333,112.71667
15315,79,-8.21667,124.56667
15317,2,-8.2,115.76667
15318,35,-8.16667,112.45
15319,12,-8.16667,113.33333
15321,24,-8.0,114.0
15324,16,-7.95,112.61667
15327,25,-7.88333,113.96667
15329,11,-7.8,110.4
15334,56,-7.76667,110.38333
15335,31,-7.75,112.58333
15337,8,-7.7,112.63333
15338,28,-7.7,112.93333
15339,13,-7.65,114.2
15340,14,-7.63333,112.81667
15343,21,-7.61667,110.91667
15344,71,-7.61667,111.51667
15345,26,-7.59167,110.46667
15347,9,-7.53333,112.83333
15349,22,-7.5,112.5
15350,15,-7.48333,101.23333
15351,42,-7.48333,108.58333
15352,27,-7.48333,109.31667
15353,39,-7.41667,109.4
15354,2,-7.38333,110.43333
15360,16,-7.23333,113.2
15363,100,-7.21667,112.75
15364,12,-7.11667,110.38333
15365,21,-7.10833,110.19167
15367,18,-7.01667,110.61667
15368,119,-6.98333,110.36667
15369,21,-6.98333,110.38333
15372,18,-6.95,110.41667
15374,122,-6.91667,107.6
15377,4,-6.88333,109.7
15379,14,-6.85,113.48333
15384,14,-6.71667,111.01667
15386,24,-6.7,106.93333
15387,4,-6.68333,108.55
15388,14,-6.66667,111.08333
15392,60,-6.5,106.75
15394,15,-6.46667,107.5
15395,15,-6.43333,110.8
15396,17,-6.35,107.5
15399,15,-6.26667,106.66667
15400,120,-6.26667,106.88333
15408,118,-6.11667,106.65
15414,34,-5.85,112.63333
15415,116,-5.68333,132.8
15418,40,-5.46667,122.61667
15420,120,-5.25,105.18333
15422,29,-5.13333,119.4
15429,103,-4.58333,129.91667
15430,43,-4.53333,136.86667
15434,116,-4.24167,119.24167
15435,7,-4.15,104.65
15440,11,-3.73333,120.33333
15445,4,-3.66667,103.76667
15446,51,-3.63333,133.71667
15447,45,-3.45,114.83333
15450,12,-3.38333,104.85
15452,44,-3.33333,117.56667
15454,4,-3.31667,102.88333
15455,35,-3.28333,116.21667
15456,84,-3.25,128.4
15457,116,-3.25,128.88333
15459,1,-3.08333,103.48333
15460,4,-3.01667,102.83333
15461,18,-3.0,107.75
15462,1,-2.96667,104.76667
15463,3,-2.95,106.45
15464,64,-2.9,132.25
15466,2,-2.88333,103.85
15467,46,-2.88333,140.71667
15470,4,-2.76667,101.36667
15472,12,-2.75,107.75
15474,119,-2.61667,120.28333
15475,2,-2.6,140.16667
15478,98,-2.5,140.48333
15479,5,-2.45,104.85
15481,52,-2.25,113.91667
15489,13,-1.5,103.25
15495,115,-0.93333,114.88333
15500,2,-0.88333,134.13333
15501,103,-0.83333,127.41667
15506,58,-0.56667,100.26667
15507,1,-0.48333,104.58333
15513,119,-0.01667,109.38333
15516,132,0.10833,102.45
15518,15,0.4,109.4
15519,55,0.46667,101.43333
15523,16,0.6,109.18333
15524,37,0.65,122.83333
15530,73,1.0,120.8
15539,27,1.55,124.91667
15546,60,2.83333,117.36667
15548,4,2.91667,99.08333
15551,61,3.56667,98.68333
15555,19,3.61667,98.8
15556,16,3.71667,125.36667
15566,51,-999.0,-999.0
15567,22,-999.0,-999.0
15568,8,-999.0,-999.0
15569,6,-999.0,-999.0
15570,20,-999.0,-999.0
15571,1,-999.0,-999.0
15572,24,-999.0,-999.0
15573,2,-999.0,-999.0
15574,26,-999.0,-999.0
15575,1,-999.0,-999.0
15576,6,-999.0,-999.0
15578,16,-999.0,-999.0
